date,holiday_flag,holiday_name
2024-01-01,1,US Federal Holiday
2024-01-15,1,US Federal Holiday
2024-02-19,1,US Federal Holiday
2024-05-27,1,US Federal Holiday
2024-06-19,1,US Federal Holiday
2024-07-04,1,US Federal Holiday
2024-09-02,1,US Federal Holiday
2024-10-14,1,US Federal Holiday
2024-11-11,1,US Federal Holiday
2024-11-28,1,US Federal Holiday
2024-12-25,1,US Federal Holiday
2025-01-01,1,US Federal Holiday
2025-01-20,1,US Federal Holiday
2025-02-17,1,US Federal Holiday
2025-05-26,1,US Federal Holiday
2025-06-19,1,US Federal Holiday
2025-07-04,1,US Federal Holiday
2025-09-01,1,US Federal Holiday
2025-10-13,1,US Federal Holiday
2025-11-11,1,US Federal Holiday
2025-11-27,1,US Federal Holiday
2025-12-25,1,US Federal Holiday
